Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16642228k(9220620k free), swap 20705460k(9769332k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.406: [GC (Allocation Failure) 0.406: [DefNew: 959K->63K(960K), 0.0004837 secs] 26879K->26118K(524224K), 0.0005078 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.410: [GC (Allocation Failure) 0.410: [DefNew: 959K->63K(960K), 0.0005946 secs] 27087K->26342K(524224K), 0.0006293 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.415: [GC (Allocation Failure) 0.415: [DefNew: 959K->63K(960K), 0.0009498 secs] 27301K->26620K(524224K), 0.0010068 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.418: [GC (Allocation Failure) 0.418: [DefNew: 959K->64K(960K), 0.0008524 secs] 27560K->26921K(524224K), 0.0008960 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.421: [GC (Allocation Failure) 0.421: [DefNew: 960K->64K(960K), 0.0006854 secs] 27873K->27171K(524224K), 0.0007170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.425: [GC (Allocation Failure) 0.425: [DefNew: 960K->63K(960K), 0.0006516 secs] 28141K->27407K(524224K), 0.0006873 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.429: [GC (Allocation Failure) 0.429: [DefNew: 959K->63K(960K), 0.0006298 secs] 28377K->27634K(524224K), 0.0006581 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.431: [GC (Allocation Failure) 0.431: [DefNew: 959K->63K(960K), 0.0005542 secs] 28595K->27872K(524224K), 0.0005811 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.435: [GC (Allocation Failure) 0.435: [DefNew: 959K->63K(960K), 0.0014363 secs] 28821K->28131K(524224K), 0.0015137 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.440: [GC (Allocation Failure) 0.440: [DefNew: 959K->63K(960K), 0.0009683 secs] 29047K->28517K(524224K), 0.0010157 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.442: [GC (Allocation Failure) 0.442: [DefNew: 959K->63K(960K), 0.0007388 secs] 29472K->28769K(524224K), 0.0008079 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.446: [GC (Allocation Failure) 0.446: [DefNew: 959K->64K(960K), 0.0006660 secs] 29738K->28997K(524224K), 0.0006984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.449: [GC (Allocation Failure) 0.449: [DefNew: 960K->64K(960K), 0.0005468 secs] 29967K->29222K(524224K), 0.0005714 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.451: [GC (Allocation Failure) 0.451: [DefNew: 960K->63K(960K), 0.0005672 secs] 30193K->29445K(524224K), 0.0005950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.455: [GC (Allocation Failure) 0.455: [DefNew: 959K->63K(960K), 0.0006511 secs] 30409K->29677K(524224K), 0.0006868 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.458: [GC (Allocation Failure) 0.458: [DefNew: 959K->64K(960K), 0.0008830 secs] 30628K->29929K(524224K), 0.0009414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.460: [GC (Allocation Failure) 0.460: [DefNew: 960K->64K(960K), 0.0009461 secs] 30886K->30175K(524224K), 0.0010031 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
